Country,City,Population,Latitude,Longitude
cn,shanghai,14608512,31.045556,121.399722
br,sao paulo,10021437,-23.473293,-46.665803
cd,kinshasa,7787832,-4.3,15.3
eg,cairo,7734602,30.05,31.25
cn,peking,7480601,39.928889,116.388333
gb,london,7421228,51.514125,-0.093689
co,bogota,7102602,4.649178,-74.062827
bd,dhaka,6493177,23.7230556,90.4086111
br,rio de janeiro,6023742,-22.9,-43.233333
cl,santiago,4837248,-33.45,-70.666667
ca,toronto,4612187,43.666667,-79.416667
au,sydney,4394585,-33.861481,151.205475
cn,wuhan,4184206,30.580125,114.273405
cn,chongqing,3967028,29.562778,106.552778
eg, alexandria,3811512,31.1980556,29.9191667
eg,cairo,7734602,30.05,31.25
